Wall time,Step,Value
1615407471.0625913,23600,7.905799388885498
1615407496.5891364,23680,6.650755882263184
1615407508.947505,23720,8.419928550720215
1615407555.7542634,23860,8.525357246398926
1615407567.2789595,23890,8.199585914611816
1615407570.1842382,23900,8.21876049041748
1615407573.4243915,23910,8.349289894104004
1615407581.0540829,23930,7.953917503356934
1615407608.892622,24010,8.473272323608398
1615407615.6879163,24030,8.300558090209961
1615407621.6054907,24050,8.117305755615234
1615407628.194879,24070,7.867064476013184
1615407663.2125125,24170,8.452787399291992
1615407692.1663983,24250,8.26378345489502
1615407695.5848384,24260,8.338846206665039
1615407716.189198,24310,-0.24870017170906067
1615407736.6813002,24370,8.548005104064941
1615407764.162702,24450,8.315167427062988
1615407785.393655,24510,6.278961181640625
1615407788.459663,24520,8.115670204162598
1615407795.471063,24540,8.347237586975098
1615407802.0983312,24560,8.475390434265137
1615407818.2504508,24610,8.391231536865234
1615407884.5134497,24800,8.050084114074707
1615407891.555167,24820,8.249527931213379
1615407906.287467,24860,8.352029800415039
1615407909.2512763,24870,8.590350151062012
1615407942.8988793,24970,8.609703063964844
1615407950.0237968,24990,8.168408393859863
1615407959.716212,25020,8.194475173950195
1615407962.6605773,25030,8.66226863861084
1615407966.0531564,25040,8.20141315460205
1615408001.1997209,25140,6.373893737792969
1615408004.923032,25150,8.6728515625
1615408015.5278666,25180,8.441764831542969
1615408021.575209,25200,7.924015045166016
1615408035.1240928,25240,4.565438270568848
1615408042.334968,25260,8.196928024291992
1615408053.7298868,25290,8.91471004486084
1615408060.9637709,25310,7.801537036895752
1615408066.917526,25330,7.6817946434021
1615408073.1302774,25350,7.960910797119141
1615408102.4143617,25440,8.352415084838867
1615408116.2302752,25480,8.080892562866211
1615408130.7743516,25520,7.8602375984191895
1615408138.052883,25540,8.201273918151855
1615408147.488429,25570,8.773306846618652
1615408159.277269,25600,8.15792179107666
1615408181.3001058,25660,7.6706719398498535
1615408184.3685925,25670,8.322715759277344
1615408197.5851963,25710,8.454729080200195
1615408206.5644164,25740,8.349922180175781
1615408215.7399971,25770,7.93764066696167
1615408221.8270526,25790,8.096631050109863
1615408238.3097894,25840,8.15735149383545
1615408250.4929469,25880,8.083293914794922
1615408259.5280387,25910,7.911707401275635
1615408262.211478,25920,7.852436065673828
1615408264.8872905,25930,8.535983085632324
1615408267.5819747,25940,7.626713752746582
1615408275.8672574,25970,8.189380645751953
1615408287.5859053,26010,8.62317943572998
1615408303.9781723,26070,8.26952075958252
1615408307.5579731,26080,1.5099177360534668
1615408316.2579467,26110,7.885463237762451
1615408338.4629183,26190,7.991069793701172
1615408353.4490001,26240,7.737031936645508
1615408361.661617,26270,7.578860282897949
1615408369.9013698,26300,8.018834114074707
1615408372.4870908,26310,7.64578914642334
1615408378.573886,26330,8.197287559509277
1615408386.7059867,26360,8.187580108642578
1615408389.291759,26370,8.002625465393066
1615408394.5794082,26390,8.273508071899414
1615408412.2686439,26450,7.9610819816589355
1615408420.6591954,26480,8.12945556640625
1615408430.1301074,26510,8.0949068069458
1615408433.3466961,26520,7.977388858795166
1615408446.6035666,26560,7.881319999694824
1615408463.6518881,26620,8.288495063781738
1615408501.271823,26750,8.101116180419922
1615408512.673222,26790,8.155623435974121
1615408518.090298,26810,8.571869850158691
1615408533.2125478,26860,8.3450345993042
1615408548.2574687,26910,8.182641983032227
1615408573.8806157,27000,8.274510383605957
1615408586.0987422,27040,8.259346008300781
1615408597.855422,27080,7.97035551071167
1615408606.116486,27110,8.632538795471191
1615408652.8483412,27260,8.047774314880371
1615408682.0060842,27360,7.981660842895508
1615408684.6211317,27370,7.756192684173584
1615408687.9598124,27380,8.06535530090332
1615408695.9817498,27410,7.976205348968506
1615408716.099854,27470,7.780544757843018
1615408735.8331234,27530,5.811094760894775
1615408738.9367557,27540,7.977198600769043
1615408741.7885888,27550,8.289765357971191
1615408744.5342162,27560,8.0504150390625
1615408747.2511067,27570,8.169071197509766
1615408750.2282681,27580,8.25555419921875
1615408753.203024,27590,8.107986450195312
1615408777.7957659,27670,8.091673851013184
1615408846.7400348,27900,8.219440460205078
1615408849.5673516,27910,5.839626312255859
1615408852.2808754,27920,7.5899577140808105
1615408875.7354941,27990,8.585051536560059
1615408907.9648814,28100,8.228472709655762
1615408915.0874536,28120,8.251643180847168
1615408929.737091,28160,8.171638488769531
1615408955.1086621,28240,7.627147197723389
1615408958.5468585,28250,8.639910697937012
1615408966.8974524,28280,8.226688385009766
1615408973.009706,28300,8.357378005981445
1615408975.949485,28310,8.167380332946777
1615408982.1564763,28330,8.356854438781738
1615409038.848795,28520,0.9784662127494812
1615409054.4715831,28570,7.949533462524414
1615409064.955498,28600,8.196043014526367
1615409073.8579426,28630,8.442490577697754
1615409106.0622947,28720,6.791974067687988
1615409109.7670174,28730,7.910776615142822
1615409127.8665643,28790,8.30079174041748
1615409134.13393,28810,8.33432388305664
1615409136.7544525,28820,8.351616859436035
1615409155.1494653,28880,8.150668144226074
1615409165.2062995,28910,1.566582202911377
1615409167.8041973,28920,8.235977172851562
1615409183.238623,28970,8.102655410766602
1615409189.46624,28990,7.914092540740967
1615409195.7630057,29010,8.26833724975586
1615409206.7457054,29040,8.338462829589844
1615409209.6146665,29050,8.341139793395996
1615409233.4038332,29130,7.999135494232178
1615409247.4797502,29180,7.725310325622559
1615409253.1186707,29200,8.029485702514648
1615409256.404132,29210,8.052029609680176
1615409259.082928,29220,8.234817504882812
1615409291.8140197,29330,8.89045238494873
1615409325.2200363,29430,8.495509147644043
1615409350.3720746,29510,7.699836254119873
1615409405.376094,29680,7.923930644989014
1615409420.5753293,29730,8.058127403259277
1615409427.1970987,29750,8.493096351623535
1615409429.950422,29760,8.483424186706543
1615409438.1886683,29790,7.769008636474609
1615409469.4140239,29890,7.6314239501953125
1615409486.9504821,29950,8.325465202331543
1615409498.1088505,29990,8.100898742675781
1615409512.3975387,30040,8.061868667602539
1615409519.6457675,30060,8.872478485107422
1615409525.9088776,30080,2.946305274963379
1615409531.1326025,30100,8.276700019836426
1615409536.8875513,30120,3.5798165798187256
1615409548.819257,30160,8.659306526184082
1615409551.4148757,30170,8.384142875671387
1615409559.8109553,30200,8.374198913574219
1615409562.3987417,30210,8.262931823730469
1615409565.0261004,30220,8.423297882080078
1615409577.605542,30260,7.924160480499268
1615409582.8695414,30280,8.350682258605957
1615409590.9881546,30310,8.382184982299805
1615409593.6476107,30320,8.189108848571777
1615409599.2902722,30340,6.022060871124268
1615409614.3375893,30390,8.527545928955078
1615409619.5315175,30410,8.341341018676758
1615409622.1343524,30420,7.891592502593994
1615409624.8216584,30430,8.541763305664062
1615409644.233301,30490,8.425191879272461
1615409651.3861315,30510,8.081815719604492
1615409659.850657,30540,8.706263542175293
1615409687.5167892,30630,8.515095710754395
1615409696.1401217,30660,8.121838569641113
